"id","company","model","content","created_at","updated_at"
"143","SAMSUNG","9082","هوسينج","2024-10-27 22:23:21","2024-10-27 22:23:21"
"144","SAMSUNG","J250","فرام2 + باك","2024-10-27 22:24:02","2024-10-27 22:24:02"
"145","SAMSUNG","J320","كامل بدون شاشه","2024-10-27 22:25:04","2024-10-27 22:25:04"
"146","SAMSUNG","J250E","فرام +  بطريه + قلم","2024-10-27 22:26:30","2024-10-27 22:26:30"
"147","SAMSUNG","N9005","باك + فريم","2024-10-27 22:27:10","2024-10-27 22:27:10"
"148","SAMSUNG","GT-N7100","هوسينج","2024-10-27 22:28:11","2024-10-27 22:28:11"
"149","SAMSUNG","A51","باك + فرام + كاميرات","2024-10-27 22:28:58","2024-10-27 22:28:58"
"150","SAMSUNG","J6","هوسينج","2024-10-27 22:29:17","2024-10-27 22:29:17"
"151","SAMSUNG","G710S","كامل","2024-10-27 22:30:49","2024-10-27 22:30:49"
"152","SAMSUNG","S20 ULTER","فريم","2024-10-27 22:31:24","2024-10-27 22:31:24"
"153","SAMSUNG","A51","ميديل","2024-10-27 22:31:54","2024-10-27 22:31:54"
"154","SAMSUNG","A20S","فرام","2024-10-27 22:32:31","2024-10-27 22:32:31"
"155","SAMSUNG","NOTE8","فريم شاشه","2024-10-27 22:33:23","2024-10-27 22:33:23"
"156","SAMSUNG","A30S","ميديل + كامرات","2024-10-27 22:34:33","2024-10-27 22:34:33"
"157","SAMSUNG","S20 ULTER","فرام","2024-10-27 22:36:41","2024-10-27 22:36:41"
"158","SAMSUNG","360E","هوسينج + بورده + بيت خط","2024-10-27 22:37:30","2024-10-27 22:37:30"
"159","SAMSUNG","M31","باك + بصمه + فرام + بطاريه + ربط","2024-10-27 22:40:11","2024-10-27 22:40:11"
"160","SAMSUNG","J710","كامل بدون كامره","2024-10-27 22:41:02","2024-10-27 22:41:02"
"161","SAMSUNG","J500H","هوسينج","2024-10-27 22:41:28","2024-10-27 22:41:28"
"162","SAMSUNG","J110H","كامل بدون باك و فرام","2024-10-27 22:42:39","2024-10-27 22:42:39"
"163","SAMSUNG","NOTE5","باك + فرام + كاميرات","2024-10-27 22:43:25","2024-10-27 22:43:25"
"164","SAMSUNG","A10","فرام شاشه + باك + بصمه + ربط + شحن + كامره","2024-10-27 22:45:11","2024-10-27 22:45:11"
"165","SAMSUNG","A70","ميديل + باك2 + كاميرات","2024-10-27 22:46:19","2024-10-27 22:46:19"
"166","SAMSUNG","N900","فرام + بورده","2024-10-27 22:47:41","2024-10-27 22:47:41"
"167","SAMSUNG","J320","هوسينج2","2024-10-27 22:48:11","2024-10-27 22:48:11"
"168","SAMSUNG","G935F","فلاته شحن2 + شاشه بفريم","2024-10-27 22:49:21","2024-10-27 22:49:21"
"169","SAMSUNG","صيني","كامل بدون بطاريه و باك","2024-10-27 22:50:00","2024-10-27 22:50:00"
"170","SAMSUNG","A720","باك + شاشه بفريم","2024-10-27 22:50:51","2024-10-27 22:50:51"
"171","SAMSUNG","S8","فلاته شحن + سماعه + شاشه","2024-10-27 22:51:56","2024-10-27 22:51:56"
"172","SAMSUNG","A21S","باك + بطاريه","2024-10-27 22:52:46","2024-10-27 22:52:46"
"173","SAMSUNG","GTN7100","فرام","2024-10-27 22:54:21","2024-10-27 22:54:21"
"174","SAMSUNG","NOTE3","هوسينج","2024-10-27 22:54:54","2024-10-27 22:54:54"
"175","SAMSUNG","GT-S782","كامل بدون بطاريه و باك","2024-10-27 22:55:37","2024-10-27 22:55:37"
"176","SAMSUNG","J710F","هوسينج + بطاريه","2024-10-27 22:56:32","2024-10-27 22:56:32"
"177","HTC","M8","بطاريه + شاشه بفريم","2024-10-27 22:57:28","2024-10-27 22:59:39"
"178","HTC","310","كامل","2024-10-27 22:57:59","2024-10-27 22:59:50"
"179","HTC","M8","باك","2024-10-27 22:58:27","2024-10-27 23:00:02"
"180","HTC","DESIN 510","باك + شاشه بفريم + فلاته شحن","2024-10-27 23:01:47","2024-10-27 23:01:47"
"181","HTC","828","هوسينج","2024-10-27 23:02:12","2024-10-27 23:02:12"
